04/07 04:11:49.332/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/07 06:54:17.730/IST  DEBUG -      Trading - laha1 wants to buy 4 with limit of 100 @ 36.
04/07 06:54:17.768/IST   INFO -  PriceAction - 4244# laha1 traded with the market maker for 0 of IPL11:9 changing the price from 10.0869 to 6.4679
04/07 06:54:17.768/IST   INFO -  PriceAction - 4245# laha1 traded with the market maker for 0 of IPL11:7 changing the price from 21.5419 to 13.813
04/07 06:54:17.768/IST   INFO -  PriceAction - 4246# laha1 traded with the market maker for 0 of IPL11:6 changing the price from 14.6201 to 9.3747
04/07 06:54:17.769/IST   INFO -  PriceAction - 4247# laha1 traded with the market maker for 32.492 of IPL11:4 changing the price from 0.1901 to 36
04/07 06:54:17.769/IST   INFO -  PriceAction - 4248# laha1 traded with the market maker for 0 of IPL11:5 changing the price from 15 to 9.6183
04/07 06:54:17.769/IST   INFO -  PriceAction - 4249# laha1 traded with the market maker for 0 of IPL11:2 changing the price from 0.2695 to 0.1728
04/07 06:54:17.769/IST   INFO -  PriceAction - 4250# laha1 traded with the market maker for 0 of IPL11:8 changing the price from 37.329 to 23.9361
04/07 06:54:17.770/IST   INFO -  PriceAction - 4251# laha1 traded with the market maker for 0 of IPL11:3 changing the price from 0.3684 to 0.2362
04/07 06:54:17.770/IST   INFO -  PriceAction - 4252# laha1 traded with the market maker for 0 of IPL11:1 changing the price from 0.5942 to 0.381
04/07 06:54:17.827/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:54:17.827/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:9: 6, IPL11:7: 14, IPL11:6: 9, IPL11:4: 36, IPL11:5: 10, IPL11:2: 0, IPL11:8: 24, IPL11:3: 0, IPL11:1: 0
04/07 06:54:17.828/IST   WARN -    UserError - 4253# told laha1 "Bought 32.492 from MarketMaker.".
04/07 06:54:17.917/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:54:33.371/IST  DEBUG -      Trading - laha1 wants to buy 1 with limit of 100 @ 34.
04/07 06:54:33.399/IST   INFO -  PriceAction - 4317# laha1 traded with the market maker for 0 of IPL11:3 changing the price from 0.2362 to 0.1565
04/07 06:54:33.400/IST   INFO -  PriceAction - 4318# laha1 traded with the market maker for 0 of IPL11:8 changing the price from 23.9361 to 15.8582
04/07 06:54:33.400/IST   INFO -  PriceAction - 4319# laha1 traded with the market maker for 15.041 of IPL11:1 changing the price from 0.381 to 34
04/07 06:54:33.401/IST   INFO -  PriceAction - 4320# laha1 traded with the market maker for 0 of IPL11:2 changing the price from 0.1728 to 0.1145
04/07 06:54:33.402/IST   INFO -  PriceAction - 4321# laha1 traded with the market maker for 0 of IPL11:9 changing the price from 6.4679 to 4.2851
04/07 06:54:33.402/IST   INFO -  PriceAction - 4322# laha1 traded with the market maker for 0 of IPL11:4 changing the price from 36 to 23.8509
04/07 06:54:33.403/IST   INFO -  PriceAction - 4323# laha1 traded with the market maker for 0 of IPL11:7 changing the price from 13.813 to 9.1515
04/07 06:54:33.403/IST   INFO -  PriceAction - 4324# laha1 traded with the market maker for 0 of IPL11:5 changing the price from 9.6183 to 6.3723
04/07 06:54:33.404/IST   INFO -  PriceAction - 4325# laha1 traded with the market maker for 0 of IPL11:6 changing the price from 9.3747 to 6.2109
04/07 06:54:33.467/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:54:33.467/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:3: 0, IPL11:8: 16, IPL11:1: 34, IPL11:2: 0, IPL11:9: 4, IPL11:4: 24, IPL11:7: 9, IPL11:5: 6, IPL11:6: 6
04/07 06:54:33.468/IST   WARN -    UserError - 4326# told laha1 "Bought 15.041 from MarketMaker.".
04/07 06:54:33.542/IST   INFO -     NewChart - The chart for IPL11 has been updated.
